case_id,module,status,latency_ms,error
metric-001,metric_self_check,completed,,
llm-001,llm,failed,1372.0522999938112,APIConnectionError: Connection error.
llm-002,llm,failed,1189.1080999921542,APIConnectionError: Connection error.
llm-003,llm,failed,1401.768900002935,APIConnectionError: Connection error.
retrieval-001,keyword_retrieval,completed,0.6182599987369031,
retrieval-002,keyword_retrieval,completed,0.432040001032874,
retrieval-003,keyword_retrieval,completed,0.43039999436587095,
tool-001,tool_call,completed,5.788200002280064,
tool-002,tool_call,completed,6.11260000441689,
tool-003,tool_call,completed,4.7592799965059385,
robustness-001,robustness_keyword_retrieval,completed,0.0034999975468963385,
robustness-002,robustness_keyword_retrieval,completed,0.004079999052919447,
robustness-003,robustness_keyword_retrieval,completed,0.46085999929346144,
robustness-004,robustness_keyword_retrieval,completed,0.01069999998435378,
availability-embedding,embedding,unavailable,,
availability-resource_monitoring,resource_monitoring,unavailable,,
availability-rag_generation,rag_generation,unavailable,,
availability-charts,charts,unavailable,,
